"SGL_UF","MUNICIPIO","ELEICAO","NOME","DT_NASC","SEXO","SGL_PARTIDO","VV1T","eleito"
"AC","ACRELANDIA",2004,"PAULO CESAR FERREIRA DE ARAUJO","1957-04-08","Masculino","PTB",38.6999812136014,0
"AC","ACRELANDIA",2004,"SEBASTIAO BOCALOM RODRIGUES","1953-05-18","Masculino","PSDB",40.8228442607552,1
"AC","ACRELANDIA",2008,"CARLOS CESAR NUNES DE ARAUJO","1984-07-17","MASCULINO","PSB",47.55,0
"AC","ACRELANDIA",2008,"VILSEU FERREIRA DA SILVA","1960-04-18","MASCULINO","PP",48.57,1
"AC","ASSIS BRASIL",2004,"ANTONIO BARBOSA DE SOUSA","1956-08-28","Masculino","PPS",44.9737187910644,0
"AC","ASSIS BRASIL",2004,"MANOEL BATISTA DE ARAUJO","1968-03-03","Masculino","PT",55.0262812089356,1
"AC","ASSIS BRASIL",2008,"HUMBERTO GONCALVES FILHO","1970-04-13","MASCULINO","PSDB",41.41,0
"AC","ASSIS BRASIL",2008,"MARIA ELIANE GADELHA CARIUS","1970-01-08","FEMININO","PT",58.59,1
"AC","BRASILEIA",2004,"ALDEMIR LOPES DA SILVA","1947-05-27","Masculino","PMDB",43.6914711509415,0
"AC","BRASILEIA",2004,"ANA LEILA GALVAO MAIA MOREIRA","1970-08-05","Feminino","PT",56.3085288490585,1
"AC","BRASILEIA",2008,"ALDEMIR LOPES DA SILVA","1947-05-27","MASCULINO","PMDB",31.34,0
"AC","BRASILEIA",2008,"ANA LEILA GALVAO MAIA MOREIRA","1970-08-05","FEMININO","PT",65.41,1
"AC","BUJARI",2004,"MANOEL FERREIRA GOMES","1956-09-04","Masculino","PMDB",30.4048892284186,0
"AC","BUJARI",2004,"MICHEL MARQUES ABRAHAO","1973-12-31","Masculino","PT",45.6837280366692,1
"AC","BUJARI",2008,"JOAO EDVALDO TELES DE LIMA","1956-10-27","MASCULINO","PMDB",53.2,1
"AC","BUJARI",2008,"MICHEL MARQUES ABRAHAO","1973-12-31","MASCULINO","PT",46.8,0
"AC","CAPIXABA",2004,"AURISTELIO DE CARVALHO FERREIRA","1970-03-05","Masculino","PC do B",26.7636563272029,0
"AC","CAPIXABA",2004,"JOAIS DA SILVA DOS SANTOS","1977-03-24","Masculino","PTB",31.7046390337634,1
"AC","CAPIXABA",2008,"JOAIS DA SILVA DOS SANTOS","1977-03-24","MASCULINO","PT",59.57,1
"AC","CAPIXABA",2008,"OTAVIO GUIMARAES VAREDA","1961-10-22","MASCULINO","PMDB",40.43,0
"AC","CRUZEIRO DO SUL",2004,"HENRIQUE AFONSO SOARES LIMA","1964-12-30","Masculino","PT",31.0202962150302,0
"AC","CRUZEIRO DO SUL",2004,"MARIA ZILA FROTA BEZERRA DE OLIVEIRA","1945-05-07","Feminino","PTB",68.9797037849698,1
"AC","CRUZEIRO DO SUL",2008,"FRANCISCO SOUZA DOS SANTOS","1961-04-20","MASCULINO","PP",40.24,0
"AC","CRUZEIRO DO SUL",2008,"VAGNER JOSE SALES","1959-05-18","MASCULINO","PMDB",47.86,1
"AC","EPITACIOLANDIA",2004,"ANDRE LUIZ PEREIRA HASSEM","1978-06-29","Masculino","PDT",31.3419606452757,0
"AC","EPITACIOLANDIA",2004,"JOSE RONALDO PESSOA PEREIRA","1959-08-07","Masculino","PSB",50.4165928026946,1
"AC","EPITACIOLANDIA",2008,"ANDRE LUIZ PEREIRA HASSEM","1978-06-29","MASCULINO","PTC",27.99,0
"AC","EPITACIOLANDIA",2008,"JOSE RONALDO PESSOA PEREIRA","1959-08-07","MASCULINO","PSB",34.42,1
"AC","FEIJO",2004,"FRANCIMAR FERNANDES DE ALBUQUERQUE","1946-06-27","Masculino","PT",51.2335605260632,1
"AC","FEIJO",2004,"JOAQUIM MACHADO DE SOUZA","1933-09-09","Masculino","PSDB",48.7664394739368,0
"AC","FEIJO",2008,"JOSE JUAREZ LEITAO DOS SANTOS","1966-01-05","MASCULINO","PT",50.4,1
"AC","FEIJO",2008,"RAIMUNDO FERREIRA PINHEIRO","1962-03-22","MASCULINO","PSDB",49.6,0
"AC","JORDAO",2004,"HILARIO DE HOLANDA MELO","1943-09-11","Masculino","PT",56.5126050420168,1
"AC","JORDAO",2004,"ZEINA MARIA LINA DE MELO","1979-11-21","Feminino","PMDB",41.5126050420168,0
"AC","JORDAO",2008,"ESPERIDIAO MENEZES JUNIOR","1963-09-03","MASCULINO","PMDB",39.5,0
"AC","JORDAO",2008,"HILARIO DE HOLANDA MELO","1943-09-11","MASCULINO","PT",60.5,1
"AC","MANCIO LIMA",2004,"CLEIDISON DE JESUS ROCHA","1964-11-12","Masculino","PMDB",31.1067452521284,0
"AC","MANCIO LIMA",2004,"LUIZ HELOSMAN DE FIGUEIREDO","1948-03-09","Masculino","PL",38.0975769482646,1
"AC","MANCIO LIMA",2008,"CLEIDSON DE JESUS ROCHA","1964-11-19","MASCULINO","PMDB",63.83,1
"AC","MANCIO LIMA",2008,"JOSE COUTINHO RAMOS FILHO","1961-08-28","MASCULINO","PP",32.64,0
"AC","MANOEL URBANO",2008,"JOSE ALTANIZIO TAUMATURGO SA","1968-04-26","MASCULINO","PT",31.72,0
"AC","MANOEL URBANO",2008,"MANOEL DA SILVA ALMEIDA","1952-09-16","MASCULINO","PP",36.89,1
"AC","MANUEL URBANO",2004,"MANOEL DA SILVA ALMEIDA","1952-09-16","Masculino","PSDC",69.1597708465945,1
"AC","MANUEL URBANO",2004,"RUBENS MARTINS PEREIRA",NA,"Masculino","PT",30.8402291534055,0
"AC","MARECHAL THAUMATURGO",2004,"ITAMAR PEREIRA DE SA","1963-01-05","Masculino","PT",62.3487225459435,1
"AC","MARECHAL THAUMATURGO",2004,"LEANDRO TAVARES DE ALMEIDA","1959-06-28","Masculino","PMDB",37.6512774540565,0
"AC","MARECHAL THAUMATURGO",2008,"ALDEMIR DA SILVA LOPES","1969-06-08","MASCULINO","PT",45.16,0
"AC","MARECHAL THAUMATURGO",2008,"RANDSON OLIVEIRA ALMEIDA","1980-09-22","MASCULINO","PMDB",54.84,1
"AC","PLACIDO DE CASTRO",2004,"JOAO LOPES FERREIRA","1947-03-24","Masculino","PL",24.3356299212598,0
"AC","PLACIDO DE CASTRO",2004,"PAULO CESAR DA SILVA","1969-08-22","Masculino","PT",27.054625984252,1
"AC","PLACIDO DE CASTRO",2008,"PAULO CESAR DA SILVA","1969-08-22","MASCULINO","PT",47,1
"AC","PLACIDO DE CASTRO",2008,"RONEY DE OLIVEIRA FIRMINO","1964-07-20","MASCULINO","PMN",46.22,0
"AC","PORTO ACRE",2004,"JOSE MARIA RODRIGUES","1963-06-04","Masculino","PT",25.9011519881085,0
"AC","PORTO ACRE",2004,"JOSE RUY COELHO DE ALBUQUERQUE","1952-09-23","Masculino","PPS",38.926049795615,1
"AC","PORTO ACRE",2008,"ANTONIO CARLOS FERREIRA PORTELA","1978-05-11","MASCULINO","PSOL",29.19,0
"AC","PORTO ACRE",2008,"JOSE MARIA RODRIGUES","1963-06-04","MASCULINO","PT",30.72,1
"AC","PORTO WALTER",2004,"ANTONIO RAIMUNDO DE ARAUJO","1957-03-04","Masculino","PMDB",48.7375220199648,0
"AC","PORTO WALTER",2004,"NEUZARI CORREIA PINHEIRO","1959-11-21","Masculino","PT",51.2624779800352,1
"AC","PORTO WALTER",2008,"NEUZARI CORREIA PINHEIRO","1978-06-09","MASCULINO","PT",48.31,1
"AC","PORTO WALTER",2008,"VANDERLEY MESSIAS SALES","1957-12-30","MASCULINO","PMDB",46.14,0
"AC","RIO BRANCO",2004,"MARCIO MIGUEL BITTAR","1963-06-28","Masculino","PPS",41.7307296435898,0
"AC","RIO BRANCO",2004,"RAIMUNDO ANGELIM VASCONCELOS","1955-02-19","Masculino","PT",49.4984986903469,1
